SORURCE_NAME,ITEM,CLASS0,CLASS1,CLASS2,CLASS3
JA_CARD,,,,,
UFJ_BANK,,,,,
EPOS_CARD,,,,,
TOYOTA_CARD,,,,,
RAKUTEN_CRAD,,,,,
RAKUTEN_BANK,,,,,
RAKUTEN_FINANCE,,,,,
